fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,1,1,244.227,243.2198291803,5.02910471166188,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1.0078250321,-0.432435398130898,CC(=O)NCCCCCCCCCC(C)(C)O,C14H29NO2<br>[M+H]+
2,1,2,83.085503,84.0939003852,3.0,1,"10,11,12,13,14,15",-1.0078250321,-0.285887418858837,CCCC(C)C,C6H12<br>[X-H]+
3,1,2,84.085587,85.0891493583,3.0,1,"3,4,5,6,7,8",-1.0078250321,57.2187692523281,CCCCCN,C5H11N<br>[X-H]+
4,1,2,85.101357,84.0939003852,3.0,1,"10,11,12,13,14,15",1.0078250321,2.11727176090056,CCCC(C)C,C6H12<br>[X+H]+
5,1,2,86.055405,86.0605888841,2.0,1,"0,1,2,3,4,5",0.0,-53.8639507885211,CCNC(C)=O,C4H8NO<br>[X]+
6,1,2,86.097031,85.0891493583,3.0,1,"3,4,5,6,7,8",1.0078250321,7.02938989840796,CCCCCN,C5H11N<br>[X+H]+
7,1,2,95.084145,97.1017254173,5.0,1,"8,9,10,11,12,13,15",-2.0156500642,-14.531898036139,CCCCCCC,C7H13<br>[X-2H]+
8,1,2,97.101379,98.1095504494,3.0,1,"9,10,11,12,13,14,15",-1.0078250321,2.08218155163086,CCCCC(C)C,C7H14<br>[X-H]+
9,1,2,100.078125,100.0762389483,2.0,1,"0,1,2,3,4,5,6",0.0,24.3275111319071,CCCNC(C)=O,C5H10NO<br>[X]+
10,1,2,100.109612,99.1047994225,3.0,1,"3,4,5,6,7,8,9",1.0078250321,-24.6115687673526,CCCCCCN,C6H13N<br>[X+H]+
11,1,2,111.116821,112.1252005136,3.0,1,"8,9,10,11,12,13,14,15",-1.0078250321,-0.0529307799724548,CCCCCC(C)C,C8H16<br>[X-H]+
12,1,2,112.109337,113.1204494867,3.0,1,"3,4,5,6,7,8,9,10",-1.0078250321,-24.430209590955,CCCCCCCN,C7H15N<br>[X-H]+
13,1,2,114.088188,114.0918890125,2.0,1,"0,1,2,3,4,5,6,7",0.0,-27.6313661849229,CCCCNC(C)=O,C6H12NO<br>[X]+
14,1,2,114.126984,113.1204494867,3.0,1,"3,4,5,6,7,8,9,10",1.0078250321,-6.50081842186383,CCCCCCCN,C7H15N<br>[X+H]+
15,1,2,123.113785,125.1330255457,5.0,1,"6,7,8,9,10,11,12,13,15",-2.0156500642,-24.7078870982018,CCCCCCCCC,C9H17<br>[X-2H]+
16,1,2,125.133698,126.1408505778,3.0,1,"7,8,9,10,11,12,13,14,15",-1.0078250321,9.75799740200785,CCCCCCC(C)C,C9H18<br>[X-H]+
17,1,2,128.106216,128.1075390767,2.0,1,"0,1,2,3,4,5,6,7,8",0.0,-6.0455825188363,CCCCCNC(C)=O,C7H14NO<br>[X]+
18,1,2,128.143539,127.1360995509,3.0,1,"3,4,5,6,7,8,9,10,11",1.0078250321,1.27214373253451,CCCCCCCCN,C8H17N<br>[X+H]+
19,1,2,129.147461,127.1360995509,3.0,1,"3,4,5,6,7,8,9,10,11",2.0156500642,-28.9592615376558,CCCCCCCCN,C8H17N<br>[X+2H]+
20,1,2,140.143326,141.1517496151,3.0,1,"3,4,5,6,7,8,9,10,11,12",-1.0078250321,-0.356656299330443,CCCCCCCCCN,C9H19N<br>[X-H]+
21,1,2,142.123764,142.1231891409,2.0,1,"0,1,2,3,4,5,6,7,8,9",0.0,7.90479416235098,CCCCCCNC(C)=O,C8H16NO<br>[X]+
22,1,2,142.158661,141.1517496151,3.0,1,"3,4,5,6,7,8,9,10,11,12",1.0078250321,-2.56788575131537,CCCCCCCCCN,C9H19N<br>[X+H]+
23,1,2,156.138214,156.1388392051,2.0,1,"0,1,2,3,4,5,6,7,8,9,10",0.0,-0.490623647029221,CCCCCCCNC(C)=O,C9H18NO<br>[X]+
24,1,2,157.145172,156.1388392051,2.0,1,"0,1,2,3,4,5,6,7,8,9,10",1.0078250321,-6.00487554261634,CCCCCCCNC(C)=O,C9H18NO<br>[X+H]+
25,1,2,167.178375,168.1878007704,2.0,1,"4,5,6,7,8,9,10,11,12,13,14,15",-1.0078250321,-6.29350715963556,CCCCCCCCCC(C)C,C12H24<br>[X-H]+
26,1,2,168.171585,168.1752247114,4.0,1,"0,1,3,4,5,6,7,8,9,10,11,12",0.0,-18.3806996884307,CCCCCCCCCNCC,C11H22N<br>[X]+
27,1,2,170.153625,170.1544892693,2.0,1,"0,1,2,3,4,5,6,7,8,9,10,11",0.0,-1.8552017331139,CCCCCCCCNC(C)=O,C10H20NO<br>[X]+
28,1,2,182.189163,183.1986998077,2.0,1,"3,4,5,6,7,8,9,10,11,12,13,14,15",-1.0078250321,-6.38443901298599,CC(C)CCCCCCCCCN,C12H25N<br>[X-H]+
29,1,2,183.201523,183.1986998077,2.0,1,"3,4,5,6,7,8,9,10,11,12,13,14,15",0.0,18.4048267983749,CC(C)CCCCCCCCCN,C12H25N<br>[X]+
30,1,2,184.206238,183.1986998077,2.0,1,"3,4,5,6,7,8,9,10,11,12,13,14,15",1.0078250321,1.42101702348902,CC(C)CCCCCCCCCN,C12H25N<br>[X+H]+
31,1,2,185.210464,183.1986998077,2.0,1,"3,4,5,6,7,8,9,10,11,12,13,14,15",2.0156500642,-18.0188085917009,CC(C)CCCCCCCCCN,C12H25N<br>[X+2H]+
32,1,2,226.216797,226.2170895261,1.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.0,1.13198446546442,CC(=O)NCCCCCCCCCC(C)C,C14H28NO<br>[X]+
