fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,1,1,781.42,758.4313380983,7.97763463047752,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52",22.9897692809,-0.715081774051967,CC(O)C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C)C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,C36H62N4O13<br>[M+Na]+
2,1,2,144.087708,140.0585775114,8.0,1,"4,5,6,7,8,9,11,12,44,46",4.0313001284,-11.2503684216433,CCC(N)COCC(N)=O,C6H8N2O2<br>[X+4H]+
3,1,2,152.080399,153.0915546615,6.0,1,"5,6,7,8,9,11,44,46,47,48,49",-1.0078250321,-18.2931490073963,CCCCOC(C=O)C(C)C,C9H13O2<br>[X-H]+
4,1,2,154.119095,155.131014173,3.0,1,"0,1,2,3,4,5,6,7,47,48,49",-1.0078250321,-23.0052019187393,CC(C)CNC(=O)CC(C)C,C9H17NO<br>[X-H]+
5,1,2,172.09935,172.0973683209,1.0,1,"26,27,28,29,30,31,32,33,34,35,36,37",0.0,14.7024326357227,CC(O)C(=O)NC(C=O)C(C)C,C8H14NO3<br>[X]+
6,1,2,204.071396,201.0511464098,5.0,1,"21,22,23,24,25,26,27,28,29,30,31,32,33,34",3.0234750963,-13.1174978582788,CC(O)C(=O)NCC(=O)OCC(N)=O,C7H9N2O5<br>[X+3H]+
7,1,2,212.09021,212.092282943,4.0,1,"5,6,7,8,9,10,11,12,13,14,15,16,47,48,49",0.0,-7.18723886367244,CCC(=O)NCC(=O)OC(C=O)C(C)C,C10H14NO4<br>[X]+
8,1,2,222.074203,225.1001079751,6.0,1,"18,19,20,21,22,23,24,25,26,27,28,38,39,40,41,43",-3.0234750963,-8.47139728311515,CCC(C=O)NC(=O)C(OC(C)=O)C(C)C,C11H15NO4<br>[X-3H]+
9,1,2,240.11937,240.1235830714,4.0,1,"3,4,5,6,7,8,9,10,11,44,45,46,47,48,49,50,52",0.0,-15.2610403730916,CC(C)CC(=O)OC(C(=O)NCC=O)C(C)C,C12H18NO4<br>[X]+
10,1,2,265.188599,266.1994280892,6.0,1,"18,19,20,21,22,24,25,26,28,29,35,36,37,38,39,40,41,42,43",-1.0078250321,-9.25928606709133,CC(C)C(N)COC(CNC(C=O)C(C)C)C(C)C,C15H26N2O2<br>[X-H]+
11,1,2,293.14624,295.1657822371,6.0,1,"18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,38,39,40,41,42,43",-2.0156500642,-11.4058188157303,CCC(=O)NCCOC(C(=O)NC(C=O)C(C)C)C(C)C,C15H23N2O4<br>[X-2H]+
12,1,2,294.134094,296.1497978219,6.0,1,"5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,44,45,46,47,48,49",-2.0156500642,1.68236974288933,CC(=O)OC(C)C(=O)NC(C(=O)OC(C)C(C)C)C(C)C,C15H22NO5<br>[X-2H]+
13,1,2,312.143555,312.144712444,4.0,1,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,41,42,43,47,48,49",0.0,-1.95052561614976,CC(C)CC(=O)OC(C)C(=O)NCC(=O)OC(C=O)C(C)C,C15H22NO6<br>[X]+
14,1,2,321.14563,324.1685218913,6.0,1,"9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,38,40,41,42,43,44,45",-3.0234750963,3.5242733960133,CCCC(=O)NC(C(=O)OC(C)C(=O)NC(C=O)CC)C(C)C,C16H24N2O5<br>[X-3H]+
15,1,2,340.153625,342.1665105186,4.0,1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,44,45,46,47,48,49",-2.0156500642,9.74014491238536,CC(OC(=O)CN)C(=O)NC(C(=O)OC(C(N)=O)C(C)C)C(C)C,C15H24N3O6<br>[X-2H]+
