fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,9,1,637.262,614.2727121913,8.43352555737572,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43",22.9897692809,0.105337835716529,C=C1C(OC(C)=O)C(OC(C)=O)C(=O)C(C)(C)C=CC(C)C(O)C2(O)CC(C)C(OC(=O)c3ccccc3)C2C1OC(C)=O,C33H42O11<br>[M+Na]+
2,9,2,189.086411,189.0915546615,6.0,1,"29,30,31,32,33,34,35,36,37,38,39,40,41,42",0.0,-24.3013840903225,CC(C)C(C)OC(=O)c1ccccc1,C12H13O2<br>[X]+
3,9,2,189.088364,189.0915546615,6.0,1,"29,30,31,32,33,34,35,36,37,38,39,40,41,42",0.0,-13.972628690981,CC(C)C(C)OC(=O)c1ccccc1,C12H13O2<br>[X]+
4,9,2,189.090332,189.0915546615,6.0,1,"29,30,31,32,33,34,35,36,37,38,39,40,41,42",0.0,-3.56475919657492,CC(C)C(C)OC(=O)c1ccccc1,C12H13O2<br>[X]+
5,9,2,189.0923,189.0915546615,6.0,1,"29,30,31,32,33,34,35,36,37,38,39,40,41,42",0.0,6.84289365576849,CC(C)C(C)OC(=O)c1ccccc1,C12H13O2<br>[X]+
6,9,2,189.094269,189.0915546615,6.0,1,"29,30,31,32,33,34,35,36,37,38,39,40,41,42",0.0,17.2556181489944,CC(C)C(C)OC(=O)c1ccccc1,C12H13O2<br>[X]+
7,9,2,199.116257,203.143590232,7.0,1,"0,1,2,21,22,23,24,25,27,28,29,30,40,41,42",-4.0313001284,22.6776882414182,C=CCC1CC(C)CC1(O)CC(C)C=C,C14H19O<br>[X-4H]+
8,9,2,211.108566,216.1514152641,8.0,1,"0,1,2,7,21,22,23,24,25,27,28,29,30,40,41,42",-5.0391251605,-15.0420405014661,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
9,9,2,211.110886,216.1514152641,8.0,1,"0,1,2,7,21,22,23,24,25,27,28,29,30,40,41,42",-5.0391251605,-4.05238979472143,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
10,9,2,211.113205,216.1514152641,8.0,1,"0,1,2,7,21,22,23,24,25,27,28,29,30,40,41,42",-5.0391251605,6.93228261121307,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
11,9,2,211.115524,216.1514152641,8.0,1,"0,1,2,7,21,22,23,24,25,27,28,29,30,40,41,42",-5.0391251605,17.9167136947206,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
12,9,2,213.123291,217.1592402962,7.0,1,"17,18,19,20,21,22,23,24,25,27,29,30,40,41,42,43",-4.0313001284,-19.2403551049823,CC(C=CC(C)(C)C=O)CC1CCC(C)C1,C15H21O<br>[X-4H]+
13,9,2,213.125641,217.1592402962,7.0,1,"17,18,19,20,21,22,23,24,25,27,29,30,40,41,42,43",-4.0313001284,-8.21378315514613,CC(C=CC(C)(C)C=O)CC1CCC(C)C1,C15H21O<br>[X-4H]+
14,9,2,213.128006,217.1592402962,7.0,1,"17,18,19,20,21,22,23,24,25,27,29,30,40,41,42,43",-4.0313001284,2.88292567248054,CC(C=CC(C)(C)C=O)CC1CCC(C)C1,C15H21O<br>[X-4H]+
15,9,2,213.130356,217.1592402962,7.0,1,"17,18,19,20,21,22,23,24,25,27,29,30,40,41,42,43",-4.0313001284,13.9090097518954,CC(C=CC(C)(C)C=O)CC1CCC(C)C1,C15H21O<br>[X-4H]+
16,9,2,217.083054,218.0942943157,4.0,1,"27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",-1.0078250321,-13.2054692761207,CC1CC(O)CC1OC(=O)c1ccccc1,C13H14O3<br>[X-H]+
17,9,2,217.085464,218.0942943157,4.0,1,"27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",-1.0078250321,-2.10370418889898,CC1CC(O)CC1OC(=O)c1ccccc1,C13H14O3<br>[X-H]+
18,9,2,217.087891,218.0942943157,4.0,1,"27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",-1.0078250321,9.07612299778445,CC1CC(O)CC1OC(=O)c1ccccc1,C13H14O3<br>[X-H]+
19,9,2,217.090302,218.0942943157,4.0,1,"27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",-1.0078250321,20.1819996548749,CC1CC(O)CC1OC(=O)c1ccccc1,C13H14O3<br>[X-H]+
20,9,2,225.123825,224.1201151357,8.0,1,"0,1,2,27,29,30,31,32,33,34,35,36,37,38,40,41,42",1.0078250321,-15.8426936814937,C=CCC1CCC(C)C1OCc1ccccc1,C16H16O<br>[X+H]+
21,9,2,225.126373,224.1201151357,8.0,1,"0,1,2,27,29,30,31,32,33,34,35,36,37,38,40,41,42",1.0078250321,-4.52442682000197,C=CCC1CCC(C)C1OCc1ccccc1,C16H16O<br>[X+H]+
22,9,2,225.128922,224.1201151357,8.0,1,"0,1,2,27,29,30,31,32,33,34,35,36,37,38,40,41,42",1.0078250321,6.79802571122662,C=CCC1CCC(C)C1OCc1ccccc1,C16H16O<br>[X+H]+
23,9,2,225.131485,224.1201151357,8.0,1,"0,1,2,27,29,30,31,32,33,34,35,36,37,38,40,41,42",1.0078250321,18.1824066061037,C=CCC1CCC(C)C1OCc1ccccc1,C16H16O<br>[X+H]+
24,9,2,225.159561,228.1878007704,8.0,1,"0,1,2,18,19,20,21,22,23,24,25,27,29,30,40,41,42",-3.0234750963,-18.724828211757,C=CCC1CC(C)CC1CC(C)C=CC(C)C,C17H24<br>[X-3H]+
