fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,2,1,669.422,670.4292128333,2.87631937716747,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",-1.0078250321,0.0950055421142046,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,C36H62O11<br>[M-H]-
2,2,2,135.081696,138.1044650715,5.0,1,"32,36,37,38,40,42,43,44,45,46",-3.0234750963,1.16540437845486,CC1CC(C)C(C)OC1C,C9H14O<br>[X-3H]-
3,2,2,137.097,138.1044650715,5.0,1,"32,36,37,38,40,42,43,44,45,46",-1.0078250321,-1.3759557103397,CC1CC(C)C(C)OC1C,C9H14O<br>[X-H]-
4,2,2,153.092194,155.1072047257,4.0,1,"32,36,37,38,40,41,42,43,44,45,46",-2.0156500642,0.592704942278636,CC1CC(C)C(CO)OC1C,C9H15O2<br>[X-2H]-
5,2,2,637.393799,639.4108231149,1.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",-2.0156500642,-3.01642517244633,CCC1(CCC(O1)C1(C)CCC2(CC(O)C(C)C(O2)C(C)CC(C)C(=O)O)O1)C1OC(CC1C)C1OC(O)(CO)C(C)CC1C,C35H59O10<br>[X-2H]-
6,2,2,669.421875,670.4292128333,0.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",-1.0078250321,-0.091722727184992,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,C36H62O11<br>[X-H]-
