fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,4,1,287.055,286.0477380536,7.87310614185998,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1.0078250321,-0.0504631515914811,Cc1cc(O)c2c(=O)c3c(C(=O)O)cc(O)cc3oc2c1,C15H10O6<br>[M+H]+
2,4,2,77.040123,74.0156500642,12.0,1,"1,2,3,4,5,7",3.0234750963,20.0731701841606,c1ccccc1,C6H2<br>[X+3H]+
3,4,2,91.019104,91.0183897184,11.0,1,"1,2,3,4,5,6,7",0.0,13.8749069645531,Oc1ccccc1,C6H3O<br>[X]+
4,4,2,103.053421,101.0391251605,12.0,1,"0,1,2,3,4,5,7,8",2.0156500642,-7.81754445598559,cc1ccc(C)cc1,C8H5<br>[X+2H]+
5,4,2,104.060608,101.0391251605,12.0,1,"0,1,2,3,4,5,7,8",3.0234750963,-13.8732304928332,cc1ccc(C)cc1,C8H5<br>[X+3H]+
6,4,2,105.031464,106.0418648147,9.0,1,"0,1,2,3,4,5,6,7",-1.0078250321,-19.3007173546069,Cc1cccc(O)c1,C7H6O<br>[X-H]+
7,4,2,106.045052,106.0418648147,9.0,1,"0,1,2,3,4,5,6,7",0.0,35.2282848613506,Cc1cccc(O)c1,C7H6O<br>[X]+
8,4,2,120.02179,119.0133043405,10.0,1,"10,11,13,14,16,17,18,19,20",1.0078250321,10.0750655359743,O=C(O)c1ccccc1,C7H3O2<br>[X+H]+
9,4,2,121.031464,122.0367794368,9.0,1,"0,1,2,3,4,5,6,7,12",-1.0078250321,25.2677708665708,Cc1cc(O)cc(o)c1,C7H6O2<br>[X-H]+
10,4,2,122.03804,122.0367794368,9.0,1,"0,1,2,3,4,5,6,7,12",0.0,14.82458420335,Cc1cc(O)cc(o)c1,C7H6O2<br>[X]+
11,4,2,137.02037,136.0160439947,9.0,1,"10,11,13,14,15,16,17,18,19,20",1.0078250321,-21.5327604207441,O=C(O)c1cccc(O)c1,C7H4O3<br>[X+H]+
12,4,2,138.035736,136.0160439947,9.0,1,"10,11,13,14,15,16,17,18,19,20",2.0156500642,33.2561786754481,O=C(O)c1cccc(O)c1,C7H4O3<br>[X+2H]+
13,4,2,149.025253,147.0082189626,10.0,1,"8,9,10,11,13,14,16,17,18,19,20",2.0156500642,12.9680920589109,O=cc1ccccc1C(=O)O,C8H3O3<br>[X+2H]+
14,4,2,151.038391,147.0082189626,10.0,1,"8,9,10,11,13,14,16,17,18,19,20",4.0313001284,-3.83671327641607,O=cc1ccccc1C(=O)O,C8H3O3<br>[X+4H]+
15,4,2,157.025009,157.0289544047,13.0,1,"0,1,2,3,4,5,7,8,9,10,11,12",0.0,-21.632252859829,Cc1ccc2c(=O)ccoc2c1,C10H5O2<br>[X]+
16,4,2,161.02562,159.0082189626,14.0,1,"1,2,3,4,5,6,7,8,9,10,11,12",2.0156500642,14.2807908456917,O=c1ccoc2cccc(O)c12,C9H3O3<br>[X+2H]+
17,4,2,161.059982,157.0289544047,13.0,1,"0,1,2,3,4,5,7,8,9,10,11,12",4.0313001284,1.71406265256745,Cc1ccc2c(=O)ccoc2c1,C10H5O2<br>[X+4H]+
18,4,2,170.038361,170.0367794368,13.0,1,"0,1,2,3,4,5,7,8,9,10,11,12,13",0.0,12.5275448873891,cc1cc(=O)c2ccc(C)cc2o1,C11H6O2<br>[X]+
19,4,2,175.077133,171.0446044689,14.0,1,"0,1,2,3,4,5,6,7,8,10,11,12,13",4.0313001284,10.1498275049306,cc1ccc2c(O)cc(C)cc2o1,C11H7O2<br>[X+4H]+
20,4,2,184.051422,182.0367794368,14.0,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14",2.0156500642,-2.49333036939908,ccc1cc(=O)c2ccc(C)cc2o1,C12H6O2<br>[X+2H]+
21,4,2,185.007111,188.0262147505,9.0,1,"1,2,3,4,5,7,8,10,11,12,13,14,16,17,18",-3.0234750963,26.5932794335893,Cc1cccc2oc3ccccc3cc12,C14H4O<br>[X-3H]+
22,4,2,185.060486,182.0367794368,14.0,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14",3.0234750963,4.21519967263194,ccc1cc(=O)c2ccc(C)cc2o1,C12H6O2<br>[X+3H]+
23,4,2,186.063614,182.0367794368,14.0,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14",4.0313001284,-21.0517527624042,ccc1cc(=O)c2ccc(C)cc2o1,C12H6O2<br>[X+4H]+
24,4,2,187.038666,187.039519091,12.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.0,-1.62795750469043,cc1cc(=O)c2c(O)cc(C)cc2o1,C11H7O3<br>[X]+
25,4,2,200.048477,199.039519091,13.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",1.0078250321,8.40534717000542,ccc1cc(=O)c2c(O)cc(C)cc2o1,C12H7O3<br>[X+H]+
26,4,2,208.986343,212.0109586168,14.0,1,"3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,20",-3.0234750963,-2.83234058013668,ccc1coc2cc(O)cc(C=O)c2c1=O,C12H4O4<br>[X-3H]+
27,4,2,211.04213,209.0238690268,5.0,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17",2.0156500642,14.9709870727051,O=c1c2ccccc2oc2cccc(O)c12,C13H5O3<br>[X+2H]+
28,4,2,212.049347,209.0238690268,5.0,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17",3.0234750963,12.0324676126667,O=c1c2ccccc2oc2cccc(O)c12,C13H5O3<br>[X+3H]+
29,4,2,213.055099,209.0238690268,5.0,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17",4.0313001284,2.24563881501003,O=c1c2ccccc2oc2cccc(O)c12,C13H5O3<br>[X+4H]+
30,4,2,213.990173,216.0058732389,13.0,1,"3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20",-2.0156500642,2.32919714498749,cc1coc2cc(O)cc(C(=O)O)c2c1=O,C11H4O5<br>[X-2H]+
31,4,2,214.058517,210.0316940589,6.0,1,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17",4.0313001284,-18.3528660997477,Oc1ccc2cc3c(O)cccc3oc2c1,C13H6O3<br>[X+4H]+
32,4,2,224.046509,224.0473441231,3.0,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17",0.0,-1.27885545402197,Cc1ccc2c(=O)c3ccc(O)cc3oc2c1,C14H8O3<br>[X]+
33,4,2,229.049805,226.026608681,4.0,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",3.0234750963,1.17800886169823,O=c1c2ccc(O)cc2oc2cccc(O)c12,C13H6O4<br>[X+3H]+
34,4,2,230.053513,229.0500837773,12.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1.0078250321,-16.7231065059472,cc(O)cc1cc(=O)c2c(O)cc(C)cc2o1,C13H9O4<br>[X+H]+
35,4,2,240.042206,237.0187836489,4.0,1,"1,2,3,4,5,7,8,9,10,11,12,13,14,16,17,18,19,20",3.0234750963,2.06569839659078,O=C(O)c1cccc2oc3ccccc3c(=O)c12,C14H5O4<br>[X+3H]+
