fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,1,1,631.234,608.2468913713,8.8228264245535,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",22.9897692809,-3.34591007474287,C=C1C(OC(C)=O)C(OC(C)=O)C(=O)C(C)(C)C=CC(C)C(=O)C2(OC(C)=O)CC(C)(O)C(OC(C)=O)C2C1OC(C)=O,C30H40O13<br>[M+Na]+
2,1,2,203.066071,205.0864692836,7.0,1,"0,1,2,25,26,27,28,29,30,31,32,37,38,40,41",-2.0156500642,-20.6810491742428,C=CCC1CC(C)CC1(C=O)OC(C)=O,C12H13O3<br>[X-2H]+
3,1,2,203.068268,205.0864692836,7.0,1,"0,1,2,25,26,27,28,29,30,31,32,37,38,40,41",-2.0156500642,-9.86180371605836,C=CCC1CC(C)CC1(C=O)OC(C)=O,C12H13O3<br>[X-2H]+
4,1,2,203.07045,205.0864692836,7.0,1,"0,1,2,25,26,27,28,29,30,31,32,37,38,40,41",-2.0156500642,0.883341717265395,C=CCC1CC(C)CC1(C=O)OC(C)=O,C12H13O3<br>[X-2H]+
5,1,2,203.072632,205.0864692836,7.0,1,"0,1,2,25,26,27,28,29,30,31,32,37,38,40,41",-2.0156500642,11.6282562390468,C=CCC1CC(C)CC1(C=O)OC(C)=O,C12H13O3<br>[X-2H]+
6,1,2,239.103256,244.1463298862,8.0,1,"2,17,18,19,20,21,22,23,24,25,26,31,32,37,38,40,41,42",-5.0391251605,-14.2203237082361,CC1CC(C)C(C1)C(=O)C(C)C=CC(C)(C)C=O,C16H20O2<br>[X-5H]+
7,1,2,239.106049,244.1463298862,8.0,1,"2,17,18,19,20,21,22,23,24,25,26,31,32,37,38,40,41,42",-5.0391251605,-2.53914822534622,CC1CC(C)C(C1)C(=O)C(C)C=CC(C)(C)C=O,C16H20O2<br>[X-5H]+
8,1,2,239.108841,244.1463298862,8.0,1,"2,17,18,19,20,21,22,23,24,25,26,31,32,37,38,40,41,42",-5.0391251605,9.13757220717557,CC1CC(C)C(C1)C(=O)C(C)C=CC(C)(C)C=O,C16H20O2<br>[X-5H]+
9,1,2,239.111633,244.1463298862,8.0,1,"2,17,18,19,20,21,22,23,24,25,26,31,32,37,38,40,41,42",-5.0391251605,20.8140199519738,CC1CC(C)C(C1)C(=O)C(C)C=CC(C)(C)C=O,C16H20O2<br>[X-5H]+
10,1,2,249.071823,251.091948592,6.0,1,"0,1,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,42",-2.0156500642,-15.7662466699012,C=CC(C)C(=O)C(OC(C)=O)C(C=C)OC(C)=O,C13H15O5<br>[X-2H]+
11,1,2,249.074783,251.091948592,6.0,1,"0,1,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,42",-2.0156500642,-3.88207825895548,C=CC(C)C(=O)C(OC(C)=O)C(C=C)OC(C)=O,C13H15O5<br>[X-2H]+
12,1,2,249.077759,251.091948592,6.0,1,"0,1,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,42",-2.0156500642,8.06604414668473,C=CC(C)C(=O)C(OC(C)=O)C(C=C)OC(C)=O,C13H15O5<br>[X-2H]+
13,1,2,249.080734,251.091948592,6.0,1,"0,1,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,42",-2.0156500642,20.009866359523,C=CC(C)C(=O)C(OC(C)=O)C(C=C)OC(C)=O,C13H15O5<br>[X-2H]+
14,1,2,267.089508,269.1025132783,5.0,1,"0,1,2,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",-2.0156500642,11.9562386557251,C=CC(O)C1C(CC(C)(O)C1OC(C)=O)OC(C)=O,C13H17O6<br>[X-2H]+
15,1,2,267.099396,272.1412445083,8.0,1,"0,1,2,7,21,22,23,24,25,26,27,28,29,30,31,32,37,38,40,41",-5.0391251605,-8.14209179219576,C=CC(C)C(=O)C1(CC(C)CC1CC(=C)C)OC(C)=O,C17H20O3<br>[X-5H]+
16,1,2,267.102692,272.1412445083,8.0,1,"0,1,2,7,21,22,23,24,25,26,27,28,29,30,31,32,37,38,40,41",-5.0391251605,4.19783189645088,C=CC(C)C(=O)C1(CC(C)CC1CC(=C)C)OC(C)=O,C17H20O3<br>[X-5H]+
17,1,2,271.166534,270.1619799504,8.0,1,"0,1,2,17,18,19,20,21,22,23,24,25,26,31,32,37,38,40,41,42",1.0078250321,-10.0395224284628,C=CCC1CC(C)CC1C(=O)C(C)C=CC(C)(C)C=O,C18H22O2<br>[X+H]+
18,1,2,271.169922,270.1619799504,8.0,1,"0,1,2,17,18,19,20,21,22,23,24,25,26,31,32,37,38,40,41,42",1.0078250321,2.45461404834982,C=CCC1CC(C)CC1C(=O)C(C)C=CC(C)(C)C=O,C18H22O2<br>[X+H]+
