fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,1,1,207.137,206.130679822,7.06886244135437,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",1.0078250321,-4.61652963969324,CC(C)Cc1ccc(C(C)C(=O)O)cc1,C13H18O2<br>[M+H]+
2,1,2,105.070702,104.0626002568,4.0,1,"4,5,6,7,8,9,10,11",1.0078250321,7.85481665465131,CCc1ccccc1,C8H8<br>[X+H]+
3,1,2,117.069679,118.078250321,4.0,1,"1,2,3,4,5,6,7,8,9",-1.0078250321,-1.68864305166356,CCCc1ccccc1,C9H10<br>[X-H]+
4,1,2,119.084305,118.078250321,4.0,1,"1,2,3,4,5,6,7,8,9",1.0078250321,-10.2595644321014,CCCc1ccccc1,C9H10<br>[X+H]+
5,1,2,120.090462,118.078250321,4.0,1,"1,2,3,4,5,6,7,8,9",2.0156500642,-24.0634031368708,CCCc1ccccc1,C9H10<br>[X+2H]+
6,1,2,161.131973,161.1330255457,2.0,1,"0,1,2,3,4,5,6,7,8,9,10,11",0.0,-3.12753385072415,CCc1ccc(cc1)CC(C)C,C12H17<br>[X]+
