fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,5,1,222.043,221.0355896045,4.7585174233972,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",1.0078250321,0.603321879485663,Nc1cnn(-c2ccccc2)c(=O)c1Cl,C10H8N3OCl<br>[M+H]+
2,5,2,53.038799,49.0078250321,10.0,1,"1,2,4,8",4.0313001284,4.19390152476861,cccc,C4H<br>[X+4H]+
3,5,2,55.029301,55.0296231067,9.0,1,"0,1,7,8",0.0,4.11586729033504,nccN,C2H3N2<br>[X]+
4,5,2,63.9949,65.0027396542,8.0,1,"1,2,4,5,8",-1.0078250321,8.34406960560004,cccc=O,C4HO<br>[X-H]+
5,5,2,65.038696,65.0391251605,12.0,1,"10,11,12,13,14",0.0,1.83643749575416,ccccc,C5H5<br>[X]+
6,5,2,75.994904,74.9875767794,12.0,1,"0,1,2,3",1.0078250321,0.668314549128591,NccCl,C2H2NCl<br>[X+H]+
7,5,2,77.038498,77.0391251605,1.0,1,"9,10,11,12,13,14",0.0,-1.01975638209266,c1ccccc1,C6H5<br>[X]+
8,5,2,83.024002,82.0167126967,11.0,1,"0,1,2,4,5,6",1.0078250321,0.155029866941916,nc(=O)ccN,C3H2N2O<br>[X+H]+
9,5,2,87.994797,87.9954018115,9.0,1,"0,1,2,3,8",0.0,-0.63880481475543,cc(N)cCl,C3H3NCl<br>[X]+
10,5,2,92.0495,91.0421991657,6.0,1,"6,9,10,11,12,13,14",1.0078250321,0.26509866969028,n-c1ccccc1,C6H5N<br>[X+H]+
11,5,2,93.057297,91.0421991657,6.0,1,"6,9,10,11,12,13,14",2.0156500642,-0.0390071505615203,n-c1ccccc1,C6H5N<br>[X+2H]+
12,5,2,94.065102,91.0421991657,6.0,1,"6,9,10,11,12,13,14",3.0234750963,-0.251549187771122,n-c1ccccc1,C6H5N<br>[X+3H]+
13,5,2,95.049103,93.0326971119,4.0,1,"0,1,2,4,6,7,8",2.0156500642,13.7236844833076,Nc1ccnnc1,C4H3N3<br>[X+2H]+
14,5,2,100.990097,101.9984758167,9.0,1,"0,1,2,3,7,8",-1.0078250321,-0.0513377069139259,ncc(N)cCl,C3H3N2Cl<br>[X-H]+
15,5,2,104.0495,103.0421991657,11.0,1,"4,6,9,10,11,12,13,14",1.0078250321,0.234524913581088,cn-c1ccccc1,C7H5N<br>[X+H]+
16,5,2,105.0448,105.0452731709,6.0,1,"6,7,9,10,11,12,13,14",0.0,0.718066006043965,nn-c1ccccc1,C6H5N2<br>[X]+
17,5,2,119.000702,116.9855654067,10.0,1,"0,1,2,3,4,5,6",2.0156500642,0.29520077954499,nc(=O)c(Cl)cN,C3H2N2OCl<br>[X+2H]+
18,5,2,119.060204,118.053098203,9.0,1,"6,7,8,9,10,11,12,13,14",1.0078250321,-1.43318333309049,cnn-c1ccccc1,C7H6N2<br>[X+H]+
