fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,8,1,665.293,642.3040123197,8.13257187405813,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",22.9897692809,-0.350222533391312,C=C1C(OC(C)=O)C(OC(=O)C(C)C)C(=O)C(C)(C)C=CC(C)C(O)C2(O)CC(C)C(OC(=O)c3ccccc3)C2C1OC(C)=O,C35H46O11<br>[M+Na]+
2,8,2,193.102661,187.0606484636,9.0,1,"2,3,4,5,6,27,28,29,30,31,32,33,44",6.0469501926,-22.7291337013557,CC(=O)OCC(CO)C(C)(O)CO,C8H11O5<br>[X+6H]+
3,8,2,193.104691,187.0606484636,9.0,1,"2,3,4,5,6,27,28,29,30,31,32,33,44",6.0469501926,-12.2164624160576,CC(=O)OCC(CO)C(C)(O)CO,C8H11O5<br>[X+6H]+
4,8,2,207.118835,201.0762985278,9.0,1,"2,3,4,5,6,27,28,29,30,31,32,33,42,43",6.0469501926,-18.6613660701239,CCC(O)C(COC(C)=O)C(O)CO,C9H13O5<br>[X+6H]+
5,8,2,207.121078,201.0762985278,9.0,1,"2,3,4,5,6,27,28,29,30,31,32,33,42,43",6.0469501926,-7.83174950417779,CCC(O)C(COC(C)=O)C(O)CO,C9H13O5<br>[X+6H]+
6,8,2,211.108566,216.1514152641,8.0,1,"0,1,2,7,23,24,25,26,27,29,30,31,32,42,43,44",-5.0391251605,-15.0420405014661,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
7,8,2,211.110886,216.1514152641,8.0,1,"0,1,2,7,23,24,25,26,27,29,30,31,32,42,43,44",-5.0391251605,-4.05238979472143,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
8,8,2,211.113205,216.1514152641,8.0,1,"0,1,2,7,23,24,25,26,27,29,30,31,32,42,43,44",-5.0391251605,6.93228261121307,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
9,8,2,211.115524,216.1514152641,8.0,1,"0,1,2,7,23,24,25,26,27,29,30,31,32,42,43,44",-5.0391251605,17.9167136947206,C=CC(C)CC1(O)CC(C)CC1CC(=C)C,C15H20O<br>[X-5H]+
10,8,2,213.123291,217.1592402962,7.0,1,"19,20,21,22,23,24,25,26,27,29,31,32,42,43,44,45",-4.0313001284,-19.2403551049823,CC(C=CC(C)(C)C=O)CC1CCC(C)C1,C15H21O<br>[X-4H]+
