fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,1,1,335.129,336.1361591304,4.82732319597002,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",-1.0078250321,0.350019544934341,Cc1c(O)c2c(c(C(=O)C=Cc3ccccc3)c1O)OC(C)(C)C=C2,C21H20O4<br>[M-H]-
2,1,2,291.138824,288.1150297578,5.0,1,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24",3.0234750963,-0.788126079305427,CCC=Cc1cc(cc(C)c1O)C(=O)C=Cc1ccccc1,C20H16O2<br>[X+3H]-
3,1,2,335.12854,336.1361591304,0.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",-1.0078250321,-1.02258763147425,Cc1c(O)c2c(c(C(=O)C=Cc3ccccc3)c1O)OC(C)(C)C=C2,C21H20O4<br>[X-H]-
