fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,1,1,304.212,286.1780239451,6.79454912062705,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",18.0343741336,0.494790803729117,C=CCCCCCCCCC(C(=O)O)C(O)CC(=O)O,C15H26O5<br>[M+NH4]+
2,1,2,71.012222,72.0211293726,3.0,1,"1,2,3,4,5",-1.0078250321,-7.51617798983012,CCC(=O)O,C3H4O2<br>[X-H]+
3,1,2,71.083664,69.0704252889,2.0,1,"12,13,14,15,16",2.0156500642,-26.2050799745097,C=CCCC,C5H9<br>[X+2H]+
4,1,2,73.028091,72.0211293726,3.0,1,"1,2,3,4,5",1.0078250321,-4.31073434466036,CCC(=O)O,C3H4O2<br>[X+H]+
5,1,2,77.039658,80.0626002568,8.0,1,"1,6,7,8,9,17",-3.0234750963,14.0374390033065,CCCC(C)C,C6H8<br>[X-3H]+
6,1,2,79.054474,81.0704252889,7.0,1,"6,7,8,9,10,17",-2.0156500642,3.12917520650599,CCCCCC,C6H9<br>[X-2H]+
7,1,2,81.036362,83.0496898468,5.0,1,"6,7,8,9,17,19",-2.0156500642,35.4262867823067,CCCCC=O,C5H7O<br>[X-2H]+
8,1,2,81.069641,83.0860753531,6.0,1,"6,7,8,9,10,11",-2.0156500642,-2.90723996166651,CCCCCC,C6H11<br>[X-2H]+
9,1,2,83.047859,83.0496898468,5.0,1,"6,7,8,9,17,19",0.0,-15.4398537834687,CCCCC=O,C5H7O<br>[X]+
10,1,2,83.085335,83.0860753531,2.0,1,"11,12,13,14,15,16",0.0,-2.30790548054509,C=CCCCC,C6H11<br>[X]+
11,1,2,85.027245,86.0367794368,4.0,1,"6,7,8,17,18,19",-1.0078250321,-13.6521499666885,CCCC(=O)O,C4H6O2<br>[X-H]+
12,1,2,85.065231,83.0496898468,5.0,1,"6,7,8,9,17,19",2.0156500642,5.16884507140054,CCCCC=O,C5H7O<br>[X+2H]+
